ID,商品品質1,商品品質2,商品品質3,サービス1,サービス2,サービス3,価格1,価格2,価格3,利便性1,利便性2,利便性3
顧客085,5,5,5,5,4,5,1,2,1,4,5,5
顧客086,3,4,3,4,5,4,4,3,4,2,3,3
顧客087,4,3,4,3,4,3,3,4,3,4,3,4
顧客088,5,4,5,2,3,2,2,2,2,5,4,5
顧客089,2,2,3,4,2,4,5,5,4,2,2,3
顧客090,4,4,4,3,4,3,3,3,3,4,4,4
顧客091,5,5,4,4,5,4,2,1,2,5,5,4
顧客092,3,3,3,5,4,5,4,5,4,3,3,3
顧客093,4,4,5,3,2,3,3,2,3,4,4,5
顧客094,2,3,2,2,3,2,5,4,5,2,3,2
顧客095,5,4,5,4,5,4,1,2,1,5,4,5
顧客096,3,4,3,5,4,5,4,4,4,3,4,3
顧客097,4,3,4,3,4,3,3,3,3,4,3,4
顧客098,5,5,5,2,3,2,2,2,2,5,5,5
顧客099,2,2,2,4,4,4,5,5,5,2,2,2
顧客100,4,4,4,4,4,4,3,3,3,4,4,4
